"","1","2","3"
"ODF_INJ_2_HIV",0,0,0
"MET_NI_3_HIV",5.41777761730649e-05,6.06469390442159e-05,7.07234118200804e-05
"METC_NI_3_HIV",0.000272594090798741,0.000305066442318187,0.000355613194918098
"BUP_NI_3_HIV",5.41777761730649e-05,6.06469390442159e-05,7.07234118200804e-05
"BUPC_NI_3_HIV",0.000272594090798741,0.000305066442318187,0.000355613194918098
"ABS_NI_3_HIV",8.03201669966314e-06,8.99156845667153e-06,1.04863855618956e-05
"REL_NI_3_HIV",0.00050189599358466,0.000561534218112703,0.000654304317596741
"ODN_NI_3_HIV",0.00050189599358466,0.000561534218112703,0.000654304317596741
"ODF_NI_3_HIV",0,0,0
"MET_INJ_3_HIV",0.000199045490540461,0.000222775445277745,0.000259721762981261
"METC_INJ_3_HIV",0.000995842843646394,0.00111353367868147,0.00129633672247353
"BUP_INJ_3_HIV",0.000199045490540461,0.000222775445277745,0.000259721762981261
"BUPC_INJ_3_HIV",0.000995842843646394,0.00111353367868147,0.00129633672247353
"ABS_INJ_3_HIV",2.95443567360953e-05,3.30730772112524e-05,3.85698693982894e-05
"REL_INJ_3_HIV",0.00182266318855409,0.00203609039473291,0.00236676515254492
"ODN_INJ_3_HIV",0.00182266318855409,0.00203609039473291,0.00236676515254492
"ODF_INJ_3_HIV",0,0,0
"MET_NI_1_HCV",5.41777761730649e-05,6.06469390442159e-05,7.07234118200804e-05
"METC_NI_1_HCV",0.000272594090798741,0.000305066442318187,0.000355613194918098
"BUP_NI_1_HCV",5.41777761730649e-05,6.06469390442159e-05,7.07234118200804e-05
"BUPC_NI_1_HCV",0.000272594090798741,0.000305066442318187,0.000355613194918098
"ABS_NI_1_HCV",8.03201669966314e-06,8.99156845667153e-06,1.04863855618956e-05
"REL_NI_1_HCV",0.00050189599358466,0.000561534218112703,0.000654304317596741
"ODN_NI_1_HCV",0.00050189599358466,0.000561534218112703,0.000654304317596741
"ODF_NI_1_HCV",0,0,0
"MET_INJ_1_HCV",0.000199045490540461,0.000222775445277745,0.000259721762981261
"METC_INJ_1_HCV",0.000995842843646394,0.00111353367868147,0.00129633672247353
"BUP_INJ_1_HCV",0.000199045490540461,0.000222775445277745,0.000259721762981261
"BUPC_INJ_1_HCV",0.000995842843646394,0.00111353367868147,0.00129633672247353
"ABS_INJ_1_HCV",2.95443567360953e-05,3.30730772112524e-05,3.85698693982894e-05
"REL_INJ_1_HCV",0.00182266318855409,0.00203609039473291,0.00236676515254492
"ODN_INJ_1_HCV",0.00182266318855409,0.00203609039473291,0.00236676515254492
"ODF_INJ_1_HCV",0,0,0
"MET_NI_2_HCV",5.41777761730649e-05,6.06469390442159e-05,7.07234118200804e-05
"METC_NI_2_HCV",0.000272594090798741,0.000305066442318187,0.000355613194918098
"BUP_NI_2_HCV",5.41777761730649e-05,6.06469390442159e-05,7.07234118200804e-05
"BUPC_NI_2_HCV",0.000272594090798741,0.000305066442318187,0.000355613194918098
"ABS_NI_2_HCV",8.03201669966314e-06,8.99156845667153e-06,1.04863855618956e-05
"REL_NI_2_HCV",0.00050189599358466,0.000561534218112703,0.000654304317596741
"ODN_NI_2_HCV",0.00050189599358466,0.000561534218112703,0.000654304317596741
"ODF_NI_2_HCV",0,0,0
"MET_INJ_2_HCV",0.000199045490540461,0.000222775445277745,0.000259721762981261
"METC_INJ_2_HCV",0.000995842843646394,0.00111353367868147,0.00129633672247353
"BUP_INJ_2_HCV",0.000199045490540461,0.000222775445277745,0.000259721762981261
"BUPC_INJ_2_HCV",0.000995842843646394,0.00111353367868147,0.00129633672247353
"ABS_INJ_2_HCV",2.95443567360953e-05,3.30730772112524e-05,3.85698693982894e-05
"REL_INJ_2_HCV",0.00182266318855409,0.00203609039473291,0.00236676515254492
"ODN_INJ_2_HCV",0.00182266318855409,0.00203609039473291,0.00236676515254492
"ODF_INJ_2_HCV",0,0,0
"MET_NI_3_HCV",5.41777761730649e-05,6.06469390442159e-05,7.07234118200804e-05
"METC_NI_3_HCV",0.000272594090798741,0.000305066442318187,0.000355613194918098
"BUP_NI_3_HCV",5.41777761730649e-05,6.06469390442159e-05,7.07234118200804e-05
"BUPC_NI_3_HCV",0.000272594090798741,0.000305066442318187,0.000355613194918098
"ABS_NI_3_HCV",8.03201669966314e-06,8.99156845667153e-06,1.04863855618956e-05
"REL_NI_3_HCV",0.00050189599358466,0.000561534218112703,0.000654304317596741
"ODN_NI_3_HCV",0.00050189599358466,0.000561534218112703,0.000654304317596741
"ODF_NI_3_HCV",0,0,0
"MET_INJ_3_HCV",0.000199045490540461,0.000222775445277745,0.000259721762981261
"METC_INJ_3_HCV",0.000995842843646394,0.00111353367868147,0.00129633672247353
"BUP_INJ_3_HCV",0.000199045490540461,0.000222775445277745,0.000259721762981261
"BUPC_INJ_3_HCV",0.000995842843646394,0.00111353367868147,0.00129633672247353
"ABS_INJ_3_HCV",2.95443567360953e-05,3.30730772112524e-05,3.85698693982894e-05
"REL_INJ_3_HCV",0.00182266318855409,0.00203609039473291,0.00236676515254492
"ODN_INJ_3_HCV",0.00182266318855409,0.00203609039473291,0.00236676515254492
"ODF_INJ_3_HCV",0,0,0
"MET_NI_1_COI",5.41777761730649e-05,6.06469390442159e-05,7.07234118200804e-05
"METC_NI_1_COI",0.000272594090798741,0.000305066442318187,0.000355613194918098
"BUP_NI_1_COI",5.41777761730649e-05,6.06469390442159e-05,7.07234118200804e-05
"BUPC_NI_1_COI",0.000272594090798741,0.000305066442318187,0.000355613194918098
"ABS_NI_1_COI",8.03201669966314e-06,8.99156845667153e-06,1.04863855618956e-05
"REL_NI_1_COI",0.00050189599358466,0.000561534218112703,0.000654304317596741
"ODN_NI_1_COI",0.00050189599358466,0.000561534218112703,0.000654304317596741
"ODF_NI_1_COI",0,0,0
"MET_INJ_1_COI",0.000199045490540461,0.000222775445277745,0.000259721762981261
"METC_INJ_1_COI",0.000995842843646394,0.00111353367868147,0.00129633672247353
"BUP_INJ_1_COI",0.000199045490540461,0.000222775445277745,0.000259721762981261
"BUPC_INJ_1_COI",0.000995842843646394,0.00111353367868147,0.00129633672247353
"ABS_INJ_1_COI",2.95443567360953e-05,3.30730772112524e-05,3.85698693982894e-05
"REL_INJ_1_COI",0.00182266318855409,0.00203609039473291,0.00236676515254492
"ODN_INJ_1_COI",0.00182266318855409,0.00203609039473291,0.00236676515254492
"ODF_INJ_1_COI",0,0,0
"MET_NI_2_COI",5.41777761730649e-05,6.06469390442159e-05,7.07234118200804e-05
"METC_NI_2_COI",0.000272594090798741,0.000305066442318187,0.000355613194918098
"BUP_NI_2_COI",5.41777761730649e-05,6.06469390442159e-05,7.07234118200804e-05
"BUPC_NI_2_COI",0.000272594090798741,0.000305066442318187,0.000355613194918098
"ABS_NI_2_COI",8.03201669966314e-06,8.99156845667153e-06,1.04863855618956e-05
"REL_NI_2_COI",0.00050189599358466,0.000561534218112703,0.000654304317596741
"ODN_NI_2_COI",0.00050189599358466,0.000561534218112703,0.000654304317596741
"ODF_NI_2_COI",0,0,0
"MET_INJ_2_COI",0.000199045490540461,0.000222775445277745,0.000259721762981261
"METC_INJ_2_COI",0.000995842843646394,0.00111353367868147,0.00129633672247353
"BUP_INJ_2_COI",0.000199045490540461,0.000222775445277745,0.000259721762981261
"BUPC_INJ_2_COI",0.000995842843646394,0.00111353367868147,0.00129633672247353
"ABS_INJ_2_COI",2.95443567360953e-05,3.30730772112524e-05,3.85698693982894e-05
"REL_INJ_2_COI",0.00182266318855409,0.00203609039473291,0.00236676515254492
"ODN_INJ_2_COI",0.00182266318855409,0.00203609039473291,0.00236676515254492
"ODF_INJ_2_COI",0,0,0
"MET_NI_3_COI",5.41777761730649e-05,6.06469390442159e-05,7.07234118200804e-05
"METC_NI_3_COI",0.000272594090798741,0.000305066442318187,0.000355613194918098
"BUP_NI_3_COI",5.41777761730649e-05,6.06469390442159e-05,7.07234118200804e-05
"BUPC_NI_3_COI",0.000272594090798741,0.000305066442318187,0.000355613194918098
"ABS_NI_3_COI",8.03201669966314e-06,8.99156845667153e-06,1.04863855618956e-05
"REL_NI_3_COI",0.00050189599358466,0.000561534218112703,0.000654304317596741
"ODN_NI_3_COI",0.00050189599358466,0.000561534218112703,0.000654304317596741
"ODF_NI_3_COI",0,0,0
"MET_INJ_3_COI",0.000199045490540461,0.000222775445277745,0.000259721762981261
"METC_INJ_3_COI",0.000995842843646394,0.00111353367868147,0.00129633672247353
"BUP_INJ_3_COI",0.000199045490540461,0.000222775445277745,0.000259721762981261
"BUPC_INJ_3_COI",0.000995842843646394,0.00111353367868147,0.00129633672247353
"ABS_INJ_3_COI",2.95443567360953e-05,3.30730772112524e-05,3.85698693982894e-05
"REL_INJ_3_COI",0.00182266318855409,0.00203609039473291,0.00236676515254492
"ODN_INJ_3_COI",0.00182266318855409,0.00203609039473291,0.00236676515254492
"ODF_INJ_3_COI",0,0,0
