"","1","2","3"
"MET_NI_3_HIV",0.0137582190880167,0.0153883090447396,0.0179219854569258
"METC_NI_3_HIV",0.0781471914807866,0.0870328498228079,0.10069091977478
"BUP_NI_3_HIV",0.00687055286253477,0.00768801407491845,0.00896006460444779
"BUPC_NI_3_HIV",0.0781471914807866,0.0870328498228079,0.10069091977478
"ABS_NI_3_HIV",0,0,0
"REL_NI_3_HIV",0.221324933223592,0.24396176135122,0.277792209515288
"ODN_NI_3_HIV",0.221324933223592,0.24396176135122,0.277792209515288
"ODF_NI_3_HIV",0,0,0
"MET_INJ_3_HIV",0.0496215223765825,0.0553699535836925,0.0642504331175874
"METC_INJ_3_HIV",0.256607128258393,0.282079746506865,0.319852763444948
"BUP_INJ_3_HIV",0.0250279090970618,0.0279726815767121,0.0325411333651272
"BUPC_INJ_3_HIV",0.256607128258393,0.282079746506865,0.319852763444948
"ABS_INJ_3_HIV",0,0,0
"REL_INJ_3_HIV",0.587576093561334,0.626047505666976,0.677519926239551
"ODN_INJ_3_HIV",0.587576093561334,0.626047505666976,0.677519926239551
"ODF_INJ_3_HIV",0,0,0
"MET_NI_1_HCV",0.0137582190880167,0.0153883090447396,0.0179219854569258
"METC_NI_1_HCV",0.0781471914807866,0.0870328498228079,0.10069091977478
"BUP_NI_1_HCV",0.00687055286253477,0.00768801407491845,0.00896006460444779
"BUPC_NI_1_HCV",0.0781471914807866,0.0870328498228079,0.10069091977478
"ABS_NI_1_HCV",0,0,0
"REL_NI_1_HCV",0.221324933223592,0.24396176135122,0.277792209515288
"ODN_NI_1_HCV",0.221324933223592,0.24396176135122,0.277792209515288
"ODF_NI_1_HCV",0,0,0
"MET_INJ_1_HCV",0.0496215223765825,0.0553699535836925,0.0642504331175874
"METC_INJ_1_HCV",0.256607128258393,0.282079746506865,0.319852763444948
"BUP_INJ_1_HCV",0.0250279090970618,0.0279726815767121,0.0325411333651272
"BUPC_INJ_1_HCV",0.256607128258393,0.282079746506865,0.319852763444948
"ABS_INJ_1_HCV",0,0,0
"REL_INJ_1_HCV",0.587576093561334,0.626047505666976,0.677519926239551
"ODN_INJ_1_HCV",0.587576093561334,0.626047505666976,0.677519926239551
"ODF_INJ_1_HCV",0,0,0
"MET_NI_2_HCV",0.0137582190880167,0.0153883090447396,0.0179219854569258
"METC_NI_2_HCV",0.0781471914807866,0.0870328498228079,0.10069091977478
"BUP_NI_2_HCV",0.00687055286253477,0.00768801407491845,0.00896006460444779
"BUPC_NI_2_HCV",0.0781471914807866,0.0870328498228079,0.10069091977478
"ABS_NI_2_HCV",0,0,0
"REL_NI_2_HCV",0.221324933223592,0.24396176135122,0.277792209515288
"ODN_NI_2_HCV",0.221324933223592,0.24396176135122,0.277792209515288
"ODF_NI_2_HCV",0,0,0
"MET_INJ_2_HCV",0.0496215223765825,0.0553699535836925,0.0642504331175874
"METC_INJ_2_HCV",0.256607128258393,0.282079746506865,0.319852763444948
"BUP_INJ_2_HCV",0.0250279090970618,0.0279726815767121,0.0325411333651272
"BUPC_INJ_2_HCV",0.256607128258393,0.282079746506865,0.319852763444948
"ABS_INJ_2_HCV",0,0,0
"REL_INJ_2_HCV",0.587576093561334,0.626047505666976,0.677519926239551
"ODN_INJ_2_HCV",0.587576093561334,0.626047505666976,0.677519926239551
"ODF_INJ_2_HCV",0,0,0
"MET_NI_3_HCV",0.0137582190880167,0.0153883090447396,0.0179219854569258
"METC_NI_3_HCV",0.0781471914807866,0.0870328498228079,0.10069091977478
"BUP_NI_3_HCV",0.00687055286253477,0.00768801407491845,0.00896006460444779
"BUPC_NI_3_HCV",0.0781471914807866,0.0870328498228079,0.10069091977478
"ABS_NI_3_HCV",0,0,0
"REL_NI_3_HCV",0.221324933223592,0.24396176135122,0.277792209515288
"ODN_NI_3_HCV",0.221324933223592,0.24396176135122,0.277792209515288
"ODF_NI_3_HCV",0,0,0
"MET_INJ_3_HCV",0.0496215223765825,0.0553699535836925,0.0642504331175874
"METC_INJ_3_HCV",0.256607128258393,0.282079746506865,0.319852763444948
"BUP_INJ_3_HCV",0.0250279090970618,0.0279726815767121,0.0325411333651272
"BUPC_INJ_3_HCV",0.256607128258393,0.282079746506865,0.319852763444948
"ABS_INJ_3_HCV",0,0,0
"REL_INJ_3_HCV",0.587576093561334,0.626047505666976,0.677519926239551
"ODN_INJ_3_HCV",0.587576093561334,0.626047505666976,0.677519926239551
"ODF_INJ_3_HCV",0,0,0
"MET_NI_1_COI",0.0137582190880167,0.0153883090447396,0.0179219854569258
"METC_NI_1_COI",0.0781471914807866,0.0870328498228079,0.10069091977478
"BUP_NI_1_COI",0.00687055286253477,0.00768801407491845,0.00896006460444779
"BUPC_NI_1_COI",0.0781471914807866,0.0870328498228079,0.10069091977478
"ABS_NI_1_COI",0,0,0
"REL_NI_1_COI",0.221324933223592,0.24396176135122,0.277792209515288
"ODN_NI_1_COI",0.221324933223592,0.24396176135122,0.277792209515288
"ODF_NI_1_COI",0,0,0
"MET_INJ_1_COI",0.0496215223765825,0.0553699535836925,0.0642504331175874
"METC_INJ_1_COI",0.256607128258393,0.282079746506865,0.319852763444948
"BUP_INJ_1_COI",0.0250279090970618,0.0279726815767121,0.0325411333651272
"BUPC_INJ_1_COI",0.256607128258393,0.282079746506865,0.319852763444948
"ABS_INJ_1_COI",0,0,0
"REL_INJ_1_COI",0.587576093561334,0.626047505666976,0.677519926239551
"ODN_INJ_1_COI",0.587576093561334,0.626047505666976,0.677519926239551
"ODF_INJ_1_COI",0,0,0
"MET_NI_2_COI",0.0137582190880167,0.0153883090447396,0.0179219854569258
"METC_NI_2_COI",0.0781471914807866,0.0870328498228079,0.10069091977478
"BUP_NI_2_COI",0.00687055286253477,0.00768801407491845,0.00896006460444779
"BUPC_NI_2_COI",0.0781471914807866,0.0870328498228079,0.10069091977478
"ABS_NI_2_COI",0,0,0
"REL_NI_2_COI",0.221324933223592,0.24396176135122,0.277792209515288
"ODN_NI_2_COI",0.221324933223592,0.24396176135122,0.277792209515288
"ODF_NI_2_COI",0,0,0
"MET_INJ_2_COI",0.0496215223765825,0.0553699535836925,0.0642504331175874
"METC_INJ_2_COI",0.256607128258393,0.282079746506865,0.319852763444948
"BUP_INJ_2_COI",0.0250279090970618,0.0279726815767121,0.0325411333651272
"BUPC_INJ_2_COI",0.256607128258393,0.282079746506865,0.319852763444948
"ABS_INJ_2_COI",0,0,0
"REL_INJ_2_COI",0.587576093561334,0.626047505666976,0.677519926239551
"ODN_INJ_2_COI",0.587576093561334,0.626047505666976,0.677519926239551
"ODF_INJ_2_COI",0,0,0
"MET_NI_3_COI",0.0137582190880167,0.0153883090447396,0.0179219854569258
"METC_NI_3_COI",0.0781471914807866,0.0870328498228079,0.10069091977478
"BUP_NI_3_COI",0.00687055286253477,0.00768801407491845,0.00896006460444779
"BUPC_NI_3_COI",0.0781471914807866,0.0870328498228079,0.10069091977478
"ABS_NI_3_COI",0,0,0
"REL_NI_3_COI",0.221324933223592,0.24396176135122,0.277792209515288
"ODN_NI_3_COI",0.221324933223592,0.24396176135122,0.277792209515288
"ODF_NI_3_COI",0,0,0
"MET_INJ_3_COI",0.0496215223765825,0.0553699535836925,0.0642504331175874
"METC_INJ_3_COI",0.256607128258393,0.282079746506865,0.319852763444948
"BUP_INJ_3_COI",0.0250279090970618,0.0279726815767121,0.0325411333651272
"BUPC_INJ_3_COI",0.256607128258393,0.282079746506865,0.319852763444948
"ABS_INJ_3_COI",0,0,0
"REL_INJ_3_COI",0.587576093561334,0.626047505666976,0.677519926239551
"ODN_INJ_3_COI",0.587576093561334,0.626047505666976,0.677519926239551
"ODF_INJ_3_COI",0,0,0
