"","MET_NI_1_NEG","METC_NI_1_NEG","BUP_NI_1_NEG","BUPC_NI_1_NEG","ABS_NI_1_NEG","REL_NI_1_NEG","ODN_NI_1_NEG","ODF_NI_1_NEG","MET_INJ_1_NEG","METC_INJ_1_NEG","BUP_INJ_1_NEG","BUPC_INJ_1_NEG","ABS_INJ_1_NEG","REL_INJ_1_NEG","ODN_INJ_1_NEG","ODF_INJ_1_NEG","MET_NI_2_NEG","METC_NI_2_NEG","BUP_NI_2_NEG","BUPC_NI_2_NEG","ABS_NI_2_NEG","REL_NI_2_NEG","ODN_NI_2_NEG","ODF_NI_2_NEG","MET_INJ_2_NEG","METC_INJ_2_NEG","BUP_INJ_2_NEG","BUPC_INJ_2_NEG","ABS_INJ_2_NEG","REL_INJ_2_NEG","ODN_INJ_2_NEG","ODF_INJ_2_NEG","MET_NI_3_NEG","METC_NI_3_NEG","BUP_NI_3_NEG","BUPC_NI_3_NEG","ABS_NI_3_NEG","REL_NI_3_NEG","ODN_NI_3_NEG","ODF_NI_3_NEG","MET_INJ_3_NEG","METC_INJ_3_NEG","BUP_INJ_3_NEG","BUPC_INJ_3_NEG","ABS_INJ_3_NEG","REL_INJ_3_NEG","ODN_INJ_3_NEG","ODF_INJ_3_NEG","MET_NI_1_HIV","METC_NI_1_HIV","BUP_NI_1_HIV","BUPC_NI_1_HIV","ABS_NI_1_HIV","REL_NI_1_HIV","ODN_NI_1_HIV","ODF_NI_1_HIV","MET_INJ_1_HIV","METC_INJ_1_HIV","BUP_INJ_1_HIV","BUPC_INJ_1_HIV","ABS_INJ_1_HIV","REL_INJ_1_HIV","ODN_INJ_1_HIV","ODF_INJ_1_HIV","MET_NI_2_HIV","METC_NI_2_HIV","BUP_NI_2_HIV","BUPC_NI_2_HIV","ABS_NI_2_HIV","REL_NI_2_HIV","ODN_NI_2_HIV","ODF_NI_2_HIV","MET_INJ_2_HIV","METC_INJ_2_HIV","BUP_INJ_2_HIV","BUPC_INJ_2_HIV","ABS_INJ_2_HIV","REL_INJ_2_HIV","ODN_INJ_2_HIV","ODF_INJ_2_HIV","MET_NI_3_HIV","METC_NI_3_HIV","BUP_NI_3_HIV","BUPC_NI_3_HIV","ABS_NI_3_HIV","REL_NI_3_HIV","ODN_NI_3_HIV","ODF_NI_3_HIV","MET_INJ_3_HIV","METC_INJ_3_HIV","BUP_INJ_3_HIV","BUPC_INJ_3_HIV","ABS_INJ_3_HIV","REL_INJ_3_HIV","ODN_INJ_3_HIV","ODF_INJ_3_HIV","MET_NI_1_HCV","METC_NI_1_HCV","BUP_NI_1_HCV","BUPC_NI_1_HCV","ABS_NI_1_HCV","REL_NI_1_HCV","ODN_NI_1_HCV","ODF_NI_1_HCV","MET_INJ_1_HCV","METC_INJ_1_HCV","BUP_INJ_1_HCV","BUPC_INJ_1_HCV","ABS_INJ_1_HCV","REL_INJ_1_HCV","ODN_INJ_1_HCV","ODF_INJ_1_HCV","MET_NI_2_HCV","METC_NI_2_HCV","BUP_NI_2_HCV","BUPC_NI_2_HCV","ABS_NI_2_HCV","REL_NI_2_HCV","ODN_NI_2_HCV","ODF_NI_2_HCV","MET_INJ_2_HCV","METC_INJ_2_HCV","BUP_INJ_2_HCV","BUPC_INJ_2_HCV","ABS_INJ_2_HCV","REL_INJ_2_HCV","ODN_INJ_2_HCV","ODF_INJ_2_HCV","MET_NI_3_HCV","METC_NI_3_HCV","BUP_NI_3_HCV","BUPC_NI_3_HCV","ABS_NI_3_HCV","REL_NI_3_HCV","ODN_NI_3_HCV","ODF_NI_3_HCV","MET_INJ_3_HCV","METC_INJ_3_HCV","BUP_INJ_3_HCV","BUPC_INJ_3_HCV","ABS_INJ_3_HCV","REL_INJ_3_HCV","ODN_INJ_3_HCV","ODF_INJ_3_HCV","MET_NI_1_COI","METC_NI_1_COI","BUP_NI_1_COI","BUPC_NI_1_COI","ABS_NI_1_COI","REL_NI_1_COI","ODN_NI_1_COI","ODF_NI_1_COI","MET_INJ_1_COI","METC_INJ_1_COI","BUP_INJ_1_COI","BUPC_INJ_1_COI","ABS_INJ_1_COI","REL_INJ_1_COI","ODN_INJ_1_COI","ODF_INJ_1_COI","MET_NI_2_COI","METC_NI_2_COI","BUP_NI_2_COI","BUPC_NI_2_COI","ABS_NI_2_COI","REL_NI_2_COI","ODN_NI_2_COI","ODF_NI_2_COI","MET_INJ_2_COI","METC_INJ_2_COI","BUP_INJ_2_COI","BUPC_INJ_2_COI","ABS_INJ_2_COI","REL_INJ_2_COI","ODN_INJ_2_COI","ODF_INJ_2_COI","MET_NI_3_COI","METC_NI_3_COI","BUP_NI_3_COI","BUPC_NI_3_COI","ABS_NI_3_COI","REL_NI_3_COI","ODN_NI_3_COI","ODF_NI_3_COI","MET_INJ_3_COI","METC_INJ_3_COI","BUP_INJ_3_COI","BUPC_INJ_3_COI","ABS_INJ_3_COI","REL_INJ_3_COI","ODN_INJ_3_COI","ODF_INJ_3_COI"
"ABS_INJ_3_NEG",0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0,0.2,0,0
"REL_INJ_3_NEG",0,0,0,0,0,0,0,0,0.0589590951139085,0.0589590951139085,0.0589590951139085,0.0589590951139085,0.0589590951139085,0,0.661370354040246,0.0438341703902121,0,0,0,0,0,0,0,0,0.0589590951139085,0.0589590951139085,0.0589590951139085,0.0589590951139085,0.0589590951139085,0,0.661370354040246,0.0438341703902121,0,0,0,0,0,0,0,0,0.0589590951139085,0.0589590951139085,0.0589590951139085,0.0589590951139085,0.0589590951139085,0,0.661370354040246,0.0438341703902121,0,0,0,0,0,0,0,0,0.0589590951139085,0.0589590951139085,0.0589590951139085,0.0589590951139085,0.0589590951139085,0,0.661370354040246,0.0438341703902121,0,0,0,0,0,0,0,0,0.0589590951139085,0.0589590951139085,0.0589590951139085,0.0589590951139085,0.0589590951139085,0,0.661370354040246,0.0438341703902121,0,0,0,0,0,0,0,0,0.0589590951139085,0.0589590951139085,0.0589590951139085,0.0589590951139085,0.0589590951139085,0,0.661370354040246,0.0438341703902121,0,0,0,0,0,0,0,0,0.0589590951139085,0.0589590951139085,0.0589590951139085,0.0589590951139085,0.0589590951139085,0,0.661370354040246,0.0438341703902121,0,0,0,0,0,0,0,0,0.0589590951139085,0.0589590951139085,0.0589590951139085,0.0589590951139085,0.0589590951139085,0,0.661370354040246,0.0438341703902121,0,0,0,0,0,0,0,0,0.0589590951139085,0.0589590951139085,0.0589590951139085,0.0589590951139085,0.0589590951139085,0,0.661370354040246,0.0438341703902121,0,0,0,0,0,0,0,0,0.0589590951139085,0.0589590951139085,0.0589590951139085,0.0589590951139085,0.0589590951139085,0,0.661370354040246,0.0438341703902121,0,0,0,0,0,0,0,0,0.0589590951139085,0.0589590951139085,0.0589590951139085,0.0589590951139085,0.0589590951139085,0,0.661370354040246,0.0438341703902121,0,0,0,0,0,0,0,0,0.0589590951139085,0.0589590951139085,0.0589590951139085,0.0589590951139085,0.0589590951139085,0,0.661370354040246,0.0438341703902121
"ODN_INJ_3_NEG",0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0,0
"ODF_INJ_3_NEG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MET_NI_1_HIV",0,0.246865770916431,0.123432885458216,0.123432885458216,0.246865770916431,0.246865770916431,0.011757645487695,0.000779270846579206,0,0,0,0,0,0,0,0,0,0.246865770916431,0.123432885458216,0.123432885458216,0.246865770916431,0.246865770916431,0.011757645487695,0.000779270846579206,0,0,0,0,0,0,0,0,0,0.246865770916431,0.123432885458216,0.123432885458216,0.246865770916431,0.246865770916431,0.011757645487695,0.000779270846579206,0,0,0,0,0,0,0,0,0,0.246865770916431,0.123432885458216,0.123432885458216,0.246865770916431,0.246865770916431,0.011757645487695,0.000779270846579206,0,0,0,0,0,0,0,0,0,0.246865770916431,0.123432885458216,0.123432885458216,0.246865770916431,0.246865770916431,0.011757645487695,0.000779270846579206,0,0,0,0,0,0,0,0,0,0.246865770916431,0.123432885458216,0.123432885458216,0.246865770916431,0.246865770916431,0.011757645487695,0.000779270846579206,0,0,0,0,0,0,0,0,0,0.246865770916431,0.123432885458216,0.123432885458216,0.246865770916431,0.246865770916431,0.011757645487695,0.000779270846579206,0,0,0,0,0,0,0,0,0,0.246865770916431,0.123432885458216,0.123432885458216,0.246865770916431,0.246865770916431,0.011757645487695,0.000779270846579206,0,0,0,0,0,0,0,0,0,0.246865770916431,0.123432885458216,0.123432885458216,0.246865770916431,0.246865770916431,0.011757645487695,0.000779270846579206,0,0,0,0,0,0,0,0,0,0.246865770916431,0.123432885458216,0.123432885458216,0.246865770916431,0.246865770916431,0.011757645487695,0.000779270846579206,0,0,0,0,0,0,0,0,0,0.246865770916431,0.123432885458216,0.123432885458216,0.246865770916431,0.246865770916431,0.011757645487695,0.000779270846579206,0,0,0,0,0,0,0,0,0,0.246865770916431,0.123432885458216,0.123432885458216,0.246865770916431,0.246865770916431,0.011757645487695,0.000779270846579206,0,0,0,0,0,0,0,0
"METC_NI_1_HIV",0.234606748004791,0,0.117303374002395,0.117303374002395,0.234606748004791,0.234606748004791,0.0577457470518891,0.00382726092894778,0,0,0,0,0,0,0,0,0.234606748004791,0,0.117303374002395,0.117303374002395,0.234606748004791,0.234606748004791,0.0577457470518891,0.00382726092894778,0,0,0,0,0,0,0,0,0.234606748004791,0,0.117303374002395,0.117303374002395,0.234606748004791,0.234606748004791,0.0577457470518891,0.00382726092894778,0,0,0,0,0,0,0,0,0.234606748004791,0,0.117303374002395,0.117303374002395,0.234606748004791,0.234606748004791,0.0577457470518891,0.00382726092894778,0,0,0,0,0,0,0,0,0.234606748004791,0,0.117303374002395,0.117303374002395,0.234606748004791,0.234606748004791,0.0577457470518891,0.00382726092894778,0,0,0,0,0,0,0,0,0.234606748004791,0,0.117303374002395,0.117303374002395,0.234606748004791,0.234606748004791,0.0577457470518891,0.00382726092894778,0,0,0,0,0,0,0,0,0.234606748004791,0,0.117303374002395,0.117303374002395,0.234606748004791,0.234606748004791,0.0577457470518891,0.00382726092894778,0,0,0,0,0,0,0,0,0.234606748004791,0,0.117303374002395,0.117303374002395,0.234606748004791,0.234606748004791,0.0577457470518891,0.00382726092894778,0,0,0,0,0,0,0,0,0.234606748004791,0,0.117303374002395,0.117303374002395,0.234606748004791,0.234606748004791,0.0577457470518891,0.00382726092894778,0,0,0,0,0,0,0,0,0.234606748004791,0,0.117303374002395,0.117303374002395,0.234606748004791,0.234606748004791,0.0577457470518891,0.00382726092894778,0,0,0,0,0,0,0,0,0.234606748004791,0,0.117303374002395,0.117303374002395,0.234606748004791,0.234606748004791,0.0577457470518891,0.00382726092894778,0,0,0,0,0,0,0,0,0.234606748004791,0,0.117303374002395,0.117303374002395,0.234606748004791,0.234606748004791,0.0577457470518891,0.00382726092894778,0,0,0,0,0,0,0,0
"BUP_NI_1_HIV",0.123432885458216,0.123432885458216,0,0.246865770916431,0.246865770916431,0.246865770916431,0.011757645487695,0.000779270846579206,0,0,0,0,0,0,0,0,0.123432885458216,0.123432885458216,0,0.246865770916431,0.246865770916431,0.246865770916431,0.011757645487695,0.000779270846579206,0,0,0,0,0,0,0,0,0.123432885458216,0.123432885458216,0,0.246865770916431,0.246865770916431,0.246865770916431,0.011757645487695,0.000779270846579206,0,0,0,0,0,0,0,0,0.123432885458216,0.123432885458216,0,0.246865770916431,0.246865770916431,0.246865770916431,0.011757645487695,0.000779270846579206,0,0,0,0,0,0,0,0,0.123432885458216,0.123432885458216,0,0.246865770916431,0.246865770916431,0.246865770916431,0.011757645487695,0.000779270846579206,0,0,0,0,0,0,0,0,0.123432885458216,0.123432885458216,0,0.246865770916431,0.246865770916431,0.246865770916431,0.011757645487695,0.000779270846579206,0,0,0,0,0,0,0,0,0.123432885458216,0.123432885458216,0,0.246865770916431,0.246865770916431,0.246865770916431,0.011757645487695,0.000779270846579206,0,0,0,0,0,0,0,0,0.123432885458216,0.123432885458216,0,0.246865770916431,0.246865770916431,0.246865770916431,0.011757645487695,0.000779270846579206,0,0,0,0,0,0,0,0,0.123432885458216,0.123432885458216,0,0.246865770916431,0.246865770916431,0.246865770916431,0.011757645487695,0.000779270846579206,0,0,0,0,0,0,0,0,0.123432885458216,0.123432885458216,0,0.246865770916431,0.246865770916431,0.246865770916431,0.011757645487695,0.000779270846579206,0,0,0,0,0,0,0,0,0.123432885458216,0.123432885458216,0,0.246865770916431,0.246865770916431,0.246865770916431,0.011757645487695,0.000779270846579206,0,0,0,0,0,0,0,0,0.123432885458216,0.123432885458216,0,0.246865770916431,0.246865770916431,0.246865770916431,0.011757645487695,0.000779270846579206,0,0,0,0,0,0,0,0
"BUPC_NI_1_HIV",0.117303374002395,0.117303374002395,0.234606748004791,0,0.234606748004791,0.234606748004791,0.0577457470518891,0.00382726092894778,0,0,0,0,0,0,0,0,0.117303374002395,0.117303374002395,0.234606748004791,0,0.234606748004791,0.234606748004791,0.0577457470518891,0.00382726092894778,0,0,0,0,0,0,0,0,0.117303374002395,0.117303374002395,0.234606748004791,0,0.234606748004791,0.234606748004791,0.0577457470518891,0.00382726092894778,0,0,0,0,0,0,0,0,0.117303374002395,0.117303374002395,0.234606748004791,0,0.234606748004791,0.234606748004791,0.0577457470518891,0.00382726092894778,0,0,0,0,0,0,0,0,0.117303374002395,0.117303374002395,0.234606748004791,0,0.234606748004791,0.234606748004791,0.0577457470518891,0.00382726092894778,0,0,0,0,0,0,0,0,0.117303374002395,0.117303374002395,0.234606748004791,0,0.234606748004791,0.234606748004791,0.0577457470518891,0.00382726092894778,0,0,0,0,0,0,0,0,0.117303374002395,0.117303374002395,0.234606748004791,0,0.234606748004791,0.234606748004791,0.0577457470518891,0.00382726092894778,0,0,0,0,0,0,0,0,0.117303374002395,0.117303374002395,0.234606748004791,0,0.234606748004791,0.234606748004791,0.0577457470518891,0.00382726092894778,0,0,0,0,0,0,0,0,0.117303374002395,0.117303374002395,0.234606748004791,0,0.234606748004791,0.234606748004791,0.0577457470518891,0.00382726092894778,0,0,0,0,0,0,0,0,0.117303374002395,0.117303374002395,0.234606748004791,0,0.234606748004791,0.234606748004791,0.0577457470518891,0.00382726092894778,0,0,0,0,0,0,0,0,0.117303374002395,0.117303374002395,0.234606748004791,0,0.234606748004791,0.234606748004791,0.0577457470518891,0.00382726092894778,0,0,0,0,0,0,0,0,0.117303374002395,0.117303374002395,0.234606748004791,0,0.234606748004791,0.234606748004791,0.0577457470518891,0.00382726092894778,0,0,0,0,0,0,0,0
"ABS_NI_1_HIV",0.2,0.2,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0
"REL_NI_1_HIV",0.178365193376333,0.178365193376333,0.178365193376333,0.178365193376333,0.178365193376333,0,0.101450141204377,0.00672389191395951,0,0,0,0,0,0,0,0,0.178365193376333,0.178365193376333,0.178365193376333,0.178365193376333,0.178365193376333,0,0.101450141204377,0.00672389191395951,0,0,0,0,0,0,0,0,0.178365193376333,0.178365193376333,0.178365193376333,0.178365193376333,0.178365193376333,0,0.101450141204377,0.00672389191395951,0,0,0,0,0,0,0,0,0.178365193376333,0.178365193376333,0.178365193376333,0.178365193376333,0.178365193376333,0,0.101450141204377,0.00672389191395951,0,0,0,0,0,0,0,0,0.178365193376333,0.178365193376333,0.178365193376333,0.178365193376333,0.178365193376333,0,0.101450141204377,0.00672389191395951,0,0,0,0,0,0,0,0,0.178365193376333,0.178365193376333,0.178365193376333,0.178365193376333,0.178365193376333,0,0.101450141204377,0.00672389191395951,0,0,0,0,0,0,0,0,0.178365193376333,0.178365193376333,0.178365193376333,0.178365193376333,0.178365193376333,0,0.101450141204377,0.00672389191395951,0,0,0,0,0,0,0,0,0.178365193376333,0.178365193376333,0.178365193376333,0.178365193376333,0.178365193376333,0,0.101450141204377,0.00672389191395951,0,0,0,0,0,0,0,0,0.178365193376333,0.178365193376333,0.178365193376333,0.178365193376333,0.178365193376333,0,0.101450141204377,0.00672389191395951,0,0,0,0,0,0,0,0,0.178365193376333,0.178365193376333,0.178365193376333,0.178365193376333,0.178365193376333,0,0.101450141204377,0.00672389191395951,0,0,0,0,0,0,0,0,0.178365193376333,0.178365193376333,0.178365193376333,0.178365193376333,0.178365193376333,0,0.101450141204377,0.00672389191395951,0,0,0,0,0,0,0,0,0.178365193376333,0.178365193376333,0.178365193376333,0.178365193376333,0.178365193376333,0,0.101450141204377,0.00672389191395951,0,0,0,0,0,0,0,0
"ODN_NI_1_HIV",0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0
"ODF_NI_1_HIV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MET_INJ_1_HIV",0,0,0,0,0,0,0,0,0,0.218514973738306,0.109257486869153,0.109257486869153,0.218514973738306,0.218514973738306,0.118111907931846,0.00782819711492923,0,0,0,0,0,0,0,0,0,0.218514973738306,0.109257486869153,0.109257486869153,0.218514973738306,0.218514973738306,0.118111907931846,0.00782819711492923,0,0,0,0,0,0,0,0,0,0.218514973738306,0.109257486869153,0.109257486869153,0.218514973738306,0.218514973738306,0.118111907931846,0.00782819711492923,0,0,0,0,0,0,0,0,0,0.218514973738306,0.109257486869153,0.109257486869153,0.218514973738306,0.218514973738306,0.118111907931846,0.00782819711492923,0,0,0,0,0,0,0,0,0,0.218514973738306,0.109257486869153,0.109257486869153,0.218514973738306,0.218514973738306,0.118111907931846,0.00782819711492923,0,0,0,0,0,0,0,0,0,0.218514973738306,0.109257486869153,0.109257486869153,0.218514973738306,0.218514973738306,0.118111907931846,0.00782819711492923,0,0,0,0,0,0,0,0,0,0.218514973738306,0.109257486869153,0.109257486869153,0.218514973738306,0.218514973738306,0.118111907931846,0.00782819711492923,0,0,0,0,0,0,0,0,0,0.218514973738306,0.109257486869153,0.109257486869153,0.218514973738306,0.218514973738306,0.118111907931846,0.00782819711492923,0,0,0,0,0,0,0,0,0,0.218514973738306,0.109257486869153,0.109257486869153,0.218514973738306,0.218514973738306,0.118111907931846,0.00782819711492923,0,0,0,0,0,0,0,0,0,0.218514973738306,0.109257486869153,0.109257486869153,0.218514973738306,0.218514973738306,0.118111907931846,0.00782819711492923,0,0,0,0,0,0,0,0,0,0.218514973738306,0.109257486869153,0.109257486869153,0.218514973738306,0.218514973738306,0.118111907931846,0.00782819711492923,0,0,0,0,0,0,0,0,0,0.218514973738306,0.109257486869153,0.109257486869153,0.218514973738306,0.218514973738306,0.118111907931846,0.00782819711492923
"METC_INJ_1_HIV",0,0,0,0,0,0,0,0,0.126902743865381,0,0.0634513719326905,0.0634513719326905,0.126902743865381,0.126902743865381,0.461783060378899,0.0306059641595766,0,0,0,0,0,0,0,0,0.126902743865381,0,0.0634513719326905,0.0634513719326905,0.126902743865381,0.126902743865381,0.461783060378899,0.0306059641595766,0,0,0,0,0,0,0,0,0.126902743865381,0,0.0634513719326905,0.0634513719326905,0.126902743865381,0.126902743865381,0.461783060378899,0.0306059641595766,0,0,0,0,0,0,0,0,0.126902743865381,0,0.0634513719326905,0.0634513719326905,0.126902743865381,0.126902743865381,0.461783060378899,0.0306059641595766,0,0,0,0,0,0,0,0,0.126902743865381,0,0.0634513719326905,0.0634513719326905,0.126902743865381,0.126902743865381,0.461783060378899,0.0306059641595766,0,0,0,0,0,0,0,0,0.126902743865381,0,0.0634513719326905,0.0634513719326905,0.126902743865381,0.126902743865381,0.461783060378899,0.0306059641595766,0,0,0,0,0,0,0,0,0.126902743865381,0,0.0634513719326905,0.0634513719326905,0.126902743865381,0.126902743865381,0.461783060378899,0.0306059641595766,0,0,0,0,0,0,0,0,0.126902743865381,0,0.0634513719326905,0.0634513719326905,0.126902743865381,0.126902743865381,0.461783060378899,0.0306059641595766,0,0,0,0,0,0,0,0,0.126902743865381,0,0.0634513719326905,0.0634513719326905,0.126902743865381,0.126902743865381,0.461783060378899,0.0306059641595766,0,0,0,0,0,0,0,0,0.126902743865381,0,0.0634513719326905,0.0634513719326905,0.126902743865381,0.126902743865381,0.461783060378899,0.0306059641595766,0,0,0,0,0,0,0,0,0.126902743865381,0,0.0634513719326905,0.0634513719326905,0.126902743865381,0.126902743865381,0.461783060378899,0.0306059641595766,0,0,0,0,0,0,0,0,0.126902743865381,0,0.0634513719326905,0.0634513719326905,0.126902743865381,0.126902743865381,0.461783060378899,0.0306059641595766
"BUP_INJ_1_HIV",0,0,0,0,0,0,0,0,0.109257486869153,0.109257486869153,0,0.218514973738306,0.218514973738306,0.218514973738306,0.118111907931846,0.00782819711492923,0,0,0,0,0,0,0,0,0.109257486869153,0.109257486869153,0,0.218514973738306,0.218514973738306,0.218514973738306,0.118111907931846,0.00782819711492923,0,0,0,0,0,0,0,0,0.109257486869153,0.109257486869153,0,0.218514973738306,0.218514973738306,0.218514973738306,0.118111907931846,0.00782819711492923,0,0,0,0,0,0,0,0,0.109257486869153,0.109257486869153,0,0.218514973738306,0.218514973738306,0.218514973738306,0.118111907931846,0.00782819711492923,0,0,0,0,0,0,0,0,0.109257486869153,0.109257486869153,0,0.218514973738306,0.218514973738306,0.218514973738306,0.118111907931846,0.00782819711492923,0,0,0,0,0,0,0,0,0.109257486869153,0.109257486869153,0,0.218514973738306,0.218514973738306,0.218514973738306,0.118111907931846,0.00782819711492923,0,0,0,0,0,0,0,0,0.109257486869153,0.109257486869153,0,0.218514973738306,0.218514973738306,0.218514973738306,0.118111907931846,0.00782819711492923,0,0,0,0,0,0,0,0,0.109257486869153,0.109257486869153,0,0.218514973738306,0.218514973738306,0.218514973738306,0.118111907931846,0.00782819711492923,0,0,0,0,0,0,0,0,0.109257486869153,0.109257486869153,0,0.218514973738306,0.218514973738306,0.218514973738306,0.118111907931846,0.00782819711492923,0,0,0,0,0,0,0,0,0.109257486869153,0.109257486869153,0,0.218514973738306,0.218514973738306,0.218514973738306,0.118111907931846,0.00782819711492923,0,0,0,0,0,0,0,0,0.109257486869153,0.109257486869153,0,0.218514973738306,0.218514973738306,0.218514973738306,0.118111907931846,0.00782819711492923,0,0,0,0,0,0,0,0,0.109257486869153,0.109257486869153,0,0.218514973738306,0.218514973738306,0.218514973738306,0.118111907931846,0.00782819711492923
